media_channel,advertiser_name,document_number,service_date,invoice_date,invoice_number,media_provider_name,vendor_name,invoice_amount,expense_catagory,business_unit,location,department,expense_code,invoiced_clicks
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,32431,12/26/19,1/1/20,MED-3909,RealGood Interactive Media Inc.,Googly Ads,68764,PASS -THROUGH MEDIA,7016,82337,5965,79010,64872
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,12566,12/26/19,1/2/20,MED-3707,RealGood Interactive Media Inc.,Googly Ads,32480,PASS -THROUGH MEDIA,7016,82337,5938,79010,18086
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,87654,12/26/19,1/2/20,MED-1378,RealGood Interactive Media Inc.,Zing,49655,PASS -THROUGH MEDIA,7016,82337,6063,79005,114127
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,67524,12/26/19,1/2/20,MED-3266,RealGood Interactive Media Inc.,Zing,63222,PASS -THROUGH MEDIA,7016,82337,6063,79010,235319
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,12566,12/27/19,1/2/20,MED-9373,RealGood Interactive Media Inc.,Zing,15463,PASS -THROUGH MEDIA,7016,82337,5965,79010,35769
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,87654,12/27/19,1/3/20,MED-6024,RealGood Interactive Media Inc.,Zing,58382,PASS -THROUGH MEDIA,7016,82337,5938,79010,110018
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,67524,12/27/19,1/3/20,MED-9444,RealGood Interactive Media Inc.,Ads180,78067,PASS -THROUGH MEDIA,7016,82337,6063,79005,226083
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,32431,12/28/19,1/3/20,MED-2702,RealGood Interactive Media Inc.,Ads180,49245,PASS -THROUGH MEDIA,7016,82337,6063,79010,107737
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,67524,12/28/19,1/4/20,MED-3866,RealGood Interactive Media Inc.,Ads180,35248,PASS -THROUGH MEDIA,7016,82337,5965,79010,257683
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,67524,12/28/19,1/4/20,MED-1419,RealGood Interactive Media Inc.,Ads180,59536,PASS -THROUGH MEDIA,7016,82337,5938,79010,141814
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,32431,12/29/19,1/5/20,MED-3348,RealGood Interactive Media Inc.,Googly Ads,1374,PASS -THROUGH MEDIA,1808,18801,6063,79005,1179
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,12566,12/30/19,1/5/20,MED-9541,RealGood Interactive Media Inc.,Googly Ads,45520,PASS -THROUGH MEDIA,1808,18801,6063,79010,39991
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,67524,12/30/19,1/5/20,MED-2006,RealGood Interactive Media Inc.,Googly Ads,76691,PASS -THROUGH MEDIA,7016,82337,6056,79010,69658
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,10445,12/31/19,1/6/20,MED-9542,RealGood Interactive Media Inc.,Zing,97523,PASS -THROUGH MEDIA,7016,30000,7504,79010,688515
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,32431,12/31/19,1/7/20,MED-3013,RealGood Interactive Media Inc.,Zing,75094,PASS -THROUGH MEDIA,1808,18801,6063,79005,179293
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,10445,12/31/19,1/8/20,MED-9593,RealGood Interactive Media Inc.,Zing,17256,PASS -THROUGH MEDIA,1808,18801,6063,79010,72043
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,67524,1/1/20,1/9/20,MED-3862,RealGood Interactive Media Inc.,Zing,4682,PASS -THROUGH MEDIA,7016,82337,6056,79010,8772
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,87654,1/1/20,1/9/20,MED-6290,RealGood Interactive Media Inc.,Ads180,51804,PASS -THROUGH MEDIA,7016,30000,7504,79010,135017
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,67524,1/1/20,1/9/20,MED-8501,RealGood Interactive Media Inc.,Ads180,93746,PASS -THROUGH MEDIA,1808,18801,6063,79005,160471
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,32431,1/3/20,1/10/20,MED-8081,RealGood Interactive Media Inc.,Ads180,99529,PASS -THROUGH MEDIA,1808,18801,6063,79010,172766
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,67524,1/3/20,1/10/20,MED-3588,RealGood Interactive Media Inc.,Ads180,75390,PASS -THROUGH MEDIA,7016,82337,6056,79010,299063
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,32431,1/3/20,1/11/20,MED-1786,RealGood Interactive Media Inc.,Googly Ads,15653,PASS -THROUGH MEDIA,7016,30000,7504,79010,12317
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,12566,1/4/20,1/11/20,MED-4077,RealGood Interactive Media Inc.,Googly Ads,99138,PASS -THROUGH MEDIA,7016,82337,6056,79010,58516
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,12566,1/5/20,1/11/20,MED-7829,RealGood Interactive Media Inc.,Zing,36457,PASS -THROUGH MEDIA,7016,30000,7504,79010,112857
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,87654,1/5/20,1/12/20,MED-1892,RealGood Interactive Media Inc.,Zing,22068,PASS -THROUGH MEDIA,7016,82337,6056,79010,37743
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,10445,1/5/20,1/12/20,MED-3079,RealGood Interactive Media Inc.,Ads180,47468,PASS -THROUGH MEDIA,7016,30000,7504,79010,81555
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,87654,1/5/20,1/12/20,MED-1415,RealGood Interactive Media Inc.,Ads180,85768,PASS -THROUGH MEDIA,7016,82337,6056,79010,170039
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,32431,1/5/20,1/12/20,MED-3428,RealGood Interactive Media Inc.,AlphaBeta,88104,PASS -THROUGH MEDIA,7016,30000,7504,79010,205490
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,67524,1/5/20,1/14/20,MED-7527,RealGood Interactive Media Inc.,Googly Ads,87915,PASS -THROUGH MEDIA,7016,82337,6056,79010,52521
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,12566,1/5/20,1/14/20,MED-1906,RealGood Interactive Media Inc.,Googly Ads,18093,PASS -THROUGH MEDIA,7016,30000,7504,79010,22230
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,12566,1/5/20,1/14/20,MED-8934,RealGood Interactive Media Inc.,Zing,39702,PASS -THROUGH MEDIA,7016,82337,6056,79010,239374
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,32431,1/6/20,1/14/20,MED-7852,RealGood Interactive Media Inc.,Zing,28977,PASS -THROUGH MEDIA,7016,30000,7504,79010,285027
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,12566,1/7/20,1/14/20,MED-6892,RealGood Interactive Media Inc.,Ads180,67432,PASS -THROUGH MEDIA,7016,82337,6056,79010,256578
SOCIAL MEDIA ADVERTISING,THE BEST INSURANCE COMPANY,54211,1/7/20,1/14/20,MED-3292,Critical Point Social Media Agency,Spacebook,47206,PASS -THROUGH MEDIA,7016,30000,7504,79010,38853
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,12566,1/7/20,1/15/20,MED-6441,RealGood Interactive Media Inc.,Googly Ads,73603,PASS -THROUGH MEDIA,2808,28101,6056,79010,58849
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,32431,1/7/20,1/15/20,MED-7045,RealGood Interactive Media Inc.,Googly Ads,58342,PASS -THROUGH MEDIA,2808,28101,6063,79025,34078
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,10445,1/7/20,1/15/20,MED-8337,RealGood Interactive Media Inc.,Googly Ads,79482,PASS -THROUGH MEDIA,7016,82337,6056,79010,60884
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,10445,1/8/20,1/15/20,MED-3464,RealGood Interactive Media Inc.,Googly Ads,85814,PASS -THROUGH MEDIA,7016,30000,7504,79010,62574
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,12566,1/9/20,1/15/20,MED-8393,RealGood Interactive Media Inc.,Zing,39399,PASS -THROUGH MEDIA,2808,28101,6056,79010,167729
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,12566,1/9/20,1/16/20,MED-2525,RealGood Interactive Media Inc.,Zing,39128,PASS -THROUGH MEDIA,2808,28101,6063,79025,74678
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,12566,1/9/20,1/16/20,MED-9809,RealGood Interactive Media Inc.,Zing,59362,PASS -THROUGH MEDIA,7016,82337,6056,79010,391238
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,87654,1/9/20,1/17/20,MED-5131,RealGood Interactive Media Inc.,Zing,26765,PASS -THROUGH MEDIA,7016,30000,7504,79010,46587
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,87654,1/9/20,1/17/20,MED-3431,RealGood Interactive Media Inc.,Ads180,36412,PASS -THROUGH MEDIA,2808,28101,6056,79010,74538
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,32431,1/10/20,1/17/20,MED-5832,RealGood Interactive Media Inc.,Ads180,28724,PASS -THROUGH MEDIA,2808,28101,6063,79025,78630
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,87654,1/10/20,1/17/20,MED-2680,RealGood Interactive Media Inc.,Ads180,16404,PASS -THROUGH MEDIA,7016,82337,6056,79010,33127
SOCIAL MEDIA ADVERTISING,THE BEST INSURANCE COMPANY,54211,1/11/20,1/18/20,MED-4124,Critical Point Social Media Agency,Spacebook,23991,PASS -THROUGH MEDIA,7016,30000,7504,79010,13351
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,32431,1/11/20,1/18/20,MED-5281,RealGood Interactive Media Inc.,Googly Ads,75572,PASS -THROUGH MEDIA,7016,82337,6056,79010,46832
