media_channel,advertiser_name,document_number,service_date,invoice_date,invoice_number,media_provider_name,vendor_name,invoice_amount,expense_catagory,business_unit,location,department,expense_code,invoiced_clicks
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,67524,43946,43952,MED-4748,RealGood Interactive Media Inc.,Googly Ads,87559,PASS -THROUGH MEDIA,7016,30024,6063,79010,57263
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,67524,43716,43725,MED-4588,RealGood Interactive Media Inc.,Googly Ads,43962,PASS -THROUGH MEDIA,7016,82337,6063,79005,45929
SOCIAL MEDIA ADVERTISING,THE BEST INSURANCE COMPANY,54211,43558,43566,MED-4469,Critical Point Social Media Agency,Spacebook,77686,PASS -THROUGH MEDIA,2808,28101,6056,79010,56583
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,32431,43509,43520,MED-4829,RealGood Interactive Media Inc.,Googly Ads,26998,PASS -THROUGH MEDIA,1808,18801,6063,79005,31063
SOCIAL MEDIA ADVERTISING,THE BEST INSURANCE COMPANY,54211,44045,44048,MED-2786,Critical Point Social Media Agency,Spacebook,1253,PASS -THROUGH MEDIA,7016,30024,6063,79010,671
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,32431,43748,43750,MED-2672,RealGood Interactive Media Inc.,Zing,85995,PASS -THROUGH MEDIA,7016,82337,6063,79005,411734
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,32431,44121,44131,MED-8638,RealGood Interactive Media Inc.,Zing,8605,PASS -THROUGH MEDIA,2808,28101,6056,79010,19242
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,10445,43637,43639,MED-2387,RealGood Interactive Media Inc.,Zing,27041,PASS -THROUGH MEDIA,1808,18801,6063,79005,85246
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,67524,44135,44137,MED-5151,RealGood Interactive Media Inc.,Baja Vista,75337,PASS -THROUGH MEDIA,7016,30024,6063,79010,247359
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,10445,43874,43882,MED-1987,RealGood Interactive Media Inc.,Baja Vista,24136,PASS -THROUGH MEDIA,7016,82337,6063,79005,73924
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,12566,43473,43483,MED-5644,RealGood Interactive Media Inc.,Baja Vista,97356,PASS -THROUGH MEDIA,2808,28101,6056,79010,232919
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,67524,43684,43687,MED-7849,RealGood Interactive Media Inc.,Baja Vista,11090,PASS -THROUGH MEDIA,1808,18801,6063,79005,20876
SOCIAL MEDIA ADVERTISING,THE BEST INSURANCE COMPANY,54211,43789,43798,MED-6071,Critical Point Social Media Agency,Spacebook,20620,PASS -THROUGH MEDIA,1808,18801,6063,79010,19576
SOCIAL MEDIA ADVERTISING,THE BEST INSURANCE COMPANY,54211,44144,44148,MED-3357,Critical Point Social Media Agency,Spacebook,68669,PASS -THROUGH MEDIA,7016,30024,6063,79010,25641
PAID SEARCH ADVERTISING,THE BEST INSURANCE COMPANY,32431,44192,44195,MED-9509,RealGood Interactive Media Inc.,Googly Ads,81844,PASS -THROUGH MEDIA,7016,82337,6063,79010,92858
